player,position,team,week,year,passing_td,passing_yd,perc_throws,rushing_td,rushing_yd,rec_td,rec_yd,receptions,fgmd,fgyd,perc_fg,tackles,sacks,ints
J.Graham,TE,NO,10,2012,0,0,0,0,0,2,146,7,0,0,0,0,0,0
B.Walsh,K,MIN,10,2012,0,0,0,0,0,0,0,0,4,48,100,0,0,0
J.McCourty,CB,TEN,10,2012,0,0,0,0,0,0,0,0,0,0,0,9,0,0
M.Schaub,QB,CHI,11,2012,5,527,78.18181818,0,0,0,0,0,0,0,0,0,0,0
L.McCoy,RB,PHI,11,2012,0,0,0,0,45,0,0,0,0,0,0,0,0,0
A.Johnson,WR,HOU,11,2012,0,0,0,0,0,1,273,14,0,0,0,0,0,0
R.Gronkowski,TE,NE,11,2012,0,0,0,0,0,2,137,7,0,0,0,0,0,0
M.Bryant,K,ATL,11,2012,0,0,0,0,0,0,0,0,3,51,100,0,0,0
Ald.Smith,OLB,SF,11,2012,0,0,0,0,0,0,0,0,0,0,0,6,5.5,0
R.Griffin,QB,CAR,12,2012,4,311,71.42857143,0,0,0,0,0,0,0,0,0,0,0
S.Vereen,RB,NE,12,2012,0,0,0,0,42,0,0,0,0,0,0,0,0,0
D.Bryant,WR,DAL,12,2012,0,0,0,0,0,2,145,8,0,0,0,0,0,0
C.Clay,TE,MIA,12,2012,0,0,0,0,0,1,84,6,0,0,0,0,0,0
D.Bailey,K,DAL,12,2012,0,0,0,0,0,0,0,0,3,51,100,0,0,0
D.Jackson,ILB,CLE,12,2012,0,0,0,0,0,0,0,0,0,0,0,3,0,0
A.Luck,QB,NYG,13,2012,4,391,44.44444444,0,0,0,0,0,0,0,0,0,0,0
A.Peterson,RB,MIN,13,2012,0,0,0,1,210,0,0,0,0,0,0,0,0,0
B.Marshall,WR,CHI,13,2012,0,0,0,0,0,0,165,10,0,0,0,0,0,0
B.Myers,TE,OAK,13,2012,0,0,0,0,0,1,130,14,0,0,0,0,0,0
M.Bryant,K,ATL,13,2012,0,0,0,0,0,0,0,0,3,55,100,0,0,0
C.Dunlap,DE,CIN,13,2012,0,0,0,0,0,0,0,0,0,0,0,4,2,0
C.Newton,QB,HOU,14,2012,2,287,65.71428571,0,0,0,0,0,0,0,0,0,0,0
D.Martin,RB,TB,14,2012,0,0,0,1,128,0,0,0,0,0,0,0,0,0
B.Marshall,WR,CHI,14,2012,0,0,0,0,0,1,160,10,0,0,0,0,0,0
C.Harbor,TE,PHI,14,2012,0,0,0,0,0,1,52,6,0,0,0,0,0,0
M.Prater,K,DEN,14,2012,0,0,0,0,0,0,0,0,4,43,100,0,0,0
