name,id,home,team,pos,defense_ast,defense_ffum,defense_int,defense_sk,defense_tkl,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_fga,kicking_fgm,kicking_fgyds,kicking_totpfg,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kickret_avg,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,punting_avg,punting_i20,punting_lng,punting_pts,punting_yds,puntret_avg,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds,year
S.White,00-0021332,no,TB,,7,2,0,3,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
G.McCoy,00-0027856,no,TB,DT,4,2,0,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
B.Price,00-0027650,yes,TB,,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
S.Jones,00-0022844,no,TB,,18,0,1,1,52,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
J.Delhomme,00-0004161,no,CLE,,,,,,,1,0,3,0,0,,,,,,,,,,,,,,,149,93,7,2,0,0,872,,,,,,,,,,,,,,,,,,8,2,0,0,0,0,-2,2010
J.Cribbs,00-0023176,no,CLE,,,,,,,0,4,7,4,0,,,,,,,,,,279,348,0,40,0,3,2,0,0,0,0,19,,,,,,79,117,0,20,0,219,65,23,1,0,0,292,21,46,0,0,0,0,67,2010
B.Watson,00-0022943,no,CLE,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291,16,68,3,1,0,763,1,-1,0,0,0,0,-1,2010
J.Harrison,00-0024359,no,CLE,,,,,,,1,0,2,0,0,,,,,,,,,,15,19,0,4,0,,,,,,,,,,,,,,,,,,64,0,12,0,0,0,85,71,159,50,1,0,0,330,2010
P.Hillis,00-0026367,no,CLE,,,,,,,5,3,8,3,0,,,,,,,,,,,,,,,2,1,0,0,0,0,13,,,,,,,,,,,180,19,55,1,0,0,382,249,266,73,11,0,0,1129,2010
B.Robiskie,00-0027012,no,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,95,29,3,0,0,310,,,,,,,,2010
E.Moore,00-0026123,no,CLE,,,,,,,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,24,13,1,0,0,253,,,,,,,,2010
M.Massaquoi,00-0027026,no,CLE,,,,,,,1,0,1,0,0,,,,,,,,,,,,,,,1,1,0,1,0,0,29,,,,,,,,,,,239,44,32,2,0,0,432,1,-3,0,0,0,0,-3,2010
C.Stuckey,00-0025622,no,CLE,,,,,,,2,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,2,0,160,0,36,0,0,0,320,3,9,11,1,0,0,9,2010
S.Wallace,00-0022055,no,CLE,,,,,,,0,1,1,1,-17,,,,,,,,,,,,,,,101,64,2,4,1,0,694,,,,,,,,,,,9,0,1,0,0,0,9,7,10,0,0,0,0,9,2010
E.Barton,00-0000846,no,CLE,,19,0,0,0,41,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
B.Costanzo,00-0024129,no,CLE,,,,,,,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
P.Dawson,00-0004091,no,CLE,K,,,,,,,,,,,24,21,417,63,26,0,26,0,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
R.Hodges,00-0023642,no,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579,27,773,73,3204,,,,,,,,,,,,,1,68,0,0,0,0,68,2010
M.Benard,00-0026742,no,CLE,,10,0,0,6.5,15,,,,,,,,,,,,,,,23,23,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
R.Smith,00-0019573,no,CLE,,12,0,0,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
J.Haden,00-0027860,no,CLE,CB,7,1,5,1,47,,,,,,,,,,,,,,,47,56,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
A.Rubin,00-0026330,no,CLE,DT,25,0,1,1,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
M.Adams,00-0022247,no,CLE,SS,3,0,2,1,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
A.Elam,00-0023405,no,CLE,,14,1,1,2,57,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
E.Wright,00-0025440,no,CLE,,6,0,1,0,36,0,0,0,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
K.Coleman,00-0021262,no,CLE,,18,0,0,1.5,48,0,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
T.Ward,00-0027653,no,CLE,SS,25,1,0,0,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
B.Schaefering,00-0026084,no,CLE,,7,0,0,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
S.Rogers,00-0020528,no,CLE,,2,0,0,1.5,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
J.Trusnik,00-0025697,no,CLE,,2,0,0,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
C.Gocong,00-0024286,no,CLE,,25,1,0,2,47,,,,,,,,,,,,,,,5,5,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
M.Roth,00-0023481,no,CLE,,25,0,0,3,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
S.Fujita,00-0021259,no,CLE,,15,2,1,3.5,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
S.Brown,00-0021186,no,CLE,,12,0,2,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
T.Edwards,00-0025479,no,BUF,,,,,,,,,,,,,,,,,,,,,,,,,,101,55,5,2,0,0,521,,,,,,,,,,,,,,,,,,14,34,0,0,0,0,58,2010
M.Lynch,00-0025399,no,BUF,,1,0,0,0,0,2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,0,18,0,0,0,126,195,252,25,6,0,0,701,2010
G.Sanborn,00-0026844,yes,BUF,LS,,,,,,0,0,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,2010
F.Jackson,00-0024204,no,BUF,,0,0,0,0,1,2,1,5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,81,28,2,0,0,202,201,224,8,3,1,0,811,2010
C.Spiller,00-0027861,no,BUF,RB,,,,,,3,0,5,0,0,,,,,,,,,,249,361,95,44,1,,,,,,,,,,,,,89,132,0,12,0,106,5,24,1,0,0,157,74,152,0,0,0,0,283,2010
D.Nelson,00-0027322,no,BUF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,41,31,3,0,0,353,,,,,,,,2010
L.Evans,00-0022910,no,BUF,,,,,,,1,1,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,78,35,4,0,0,506,,,,,,,,2010
R.Parrish,00-0023490,no,BUF,,,,,,,0,1,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,52,87,0,12,0,186,45,33,2,0,0,392,3,23,0,0,0,0,23,2010
St. Johnson,00-0026364,no,BUF,WR,,,,,,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351,109,74,7,1,0,936,,,,,,,,2010
R.Lindell,00-0019310,no,BUF,,,,,,,,,,,,20,16,346,48,24,1,24,0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
B.Moorman,00-0011626,no,BUF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,17,760,74,3137,,,,,,,,,,,,,1,1,0,0,0,0,1,2010
D.Whitner,00-0024223,no,BUF,,41,1,1,0.5,90,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
L.McKelvin,00-0026151,no,BUF,DB,8,1,2,0,50,1,0,3,0,0,,,,,,,,,,67,101,0,11,0,,,,,,,,,,,,,6,34,0,6,0,,,,,,,,,,,,,,,2010
G.Wilson,00-0022341,no,BUF,,4,0,1,0,10,0,0,0,1,0,,,,,,,,,,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
